"Formes";"Texte1";"Texte2";"Texte3";"Texte4";"Texte5";"Texte6";"Texte7";"Texte8";"Texte9";"Texte10";"Texte11";"Texte12"
"carnau";1;0;0;0;0;0;0;0;0;0;0;0
"cars";0;0;0;1;1;0;0;0;0;0;0;0
"cas";0;0;0;1;0;0;0;0;0;0;0;0
"cascus";0;0;0;0;0;0;0;1;0;0;0;0
"caslar";0;1;0;0;0;0;0;0;0;0;0;0
"catre";0;0;0;0;0;1;0;0;0;0;0;0
"caualgar";0;1;0;0;0;0;0;0;0;0;0;0
"cauia";0;0;0;0;0;0;0;0;0;1;0;0
"causa";0;0;0;0;0;0;0;0;0;1;1;0
"cautra";0;0;0;1;0;0;0;0;2;0;0;0
"cautre";0;0;0;0;0;0;0;0;1;0;0;0
"cautren";0;0;0;0;0;0;0;0;0;0;0;1
"cayma";0;0;1;0;0;0;0;0;0;0;0;0
"cel";1;0;1;1;0;0;0;0;0;1;0;0
"celeatz";0;0;0;0;1;0;0;0;0;0;0;0
"cella";0;0;0;1;0;0;0;0;1;0;0;0
"celliei";0;0;0;2;0;0;0;0;1;0;0;0
"cellui";0;0;0;0;0;1;0;0;0;0;0;0
"cels";0;1;0;0;1;0;0;0;1;0;1;0
"celz";0;0;0;0;0;0;0;0;0;0;0;1
"cercon";0;0;0;0;0;0;0;0;0;0;1;0
"certa";0;0;1;0;0;0;0;0;0;0;0;0
"chai";0;0;0;0;1;0;0;0;0;0;0;0
"chan";0;0;0;1;0;0;0;0;0;0;0;0
"chans";0;0;0;0;2;0;0;0;0;0;0;0
"chansos";0;0;0;0;0;0;0;0;1;0;0;0
"chansson";0;0;0;0;0;0;0;0;0;0;1;0
"chanssos";0;0;0;1;0;0;0;0;0;0;0;0
"chant";0;0;0;0;0;0;0;0;0;0;0;1
"chantadors";0;0;0;0;0;1;0;0;0;0;0;0
"chantan";0;0;0;1;0;0;0;0;0;0;0;0
"chantar";0;0;1;0;0;2;0;0;0;1;0;0
"chantars";0;0;0;1;1;1;0;0;0;0;0;0
"chantes";0;0;0;1;0;0;0;0;0;0;0;0
"chapteing";0;0;0;0;1;0;0;0;0;0;0;0
"chastiar";0;0;0;0;0;1;0;0;0;0;0;0
"chastiars";0;0;0;0;0;1;0;0;0;0;0;0
"chausimen";0;0;0;0;0;0;1;0;0;0;0;0
"chausimens";0;0;0;0;0;0;1;0;0;0;0;0
"chausir";0;0;0;0;0;0;0;0;0;0;0;1
"chausis";0;0;0;0;0;1;0;0;0;0;0;0
"chausit";0;0;0;0;0;0;0;0;0;0;0;1
"cill";1;0;0;1;0;0;0;0;0;0;0;0
"cima";0;0;1;0;0;0;0;0;0;0;0;0
